creator,q3_avg_er,q3_avg_views,q3_video_ct,q4_avg_er,q4_avg_views,q4_video_ct,delta_er_pp,delta_views_pct,trend
Kyedae,3.6702,942765,10,2.5604,1619831.0,10,-1.1098,71.8,Declining
Protatomonster,1.8192,727230,10,1.7741,739340.0,10,-0.0451,1.7,Flat
Sinatraa,4.0047,371513,5,2.6349,354135.0,10,-1.3698,-4.7,Declining
TenZ,3.5797,1994835,9,2.9314,1919571.0,10,-0.6483,-3.8,Declining
aceu,3.038,494432,10,2.7901,413863.0,7,-0.2479,-16.3,Declining
tarik,3.3102,2412450,10,4.4547,2296493.0,10,1.1445,-4.8,Improving
