channel_id,creator,subscribers,lifetime_views,video_count,country,tier
UCckPYr9b_iVucz8ID1Q67sw,TenZ,2720000,415290284,1018,US,Macro
UCTbtlMEiBfs0zZLQyJzR0Uw,tarik,1020000,488883725,2387,US,Macro
UCxjdy5n9BxX_6RTL8Dt_7pg,Kyedae,1460000,377997382,267,US,Macro
UCBugd2yQNL4TNwHdA56GdnA,aceu,1830000,414683273,1086,US,Macro
UCABUGfcFJhffRFZxSl-mIiw,Sinatraa,512000,159902146,987,US,Mid-Tier
UCdlvbGGgwfF97wlH7rC8Qng,Protatomonster,870000,629488990,2527,US,Mid-Tier
UC8CX0LD98EDXl4UYX1MDCXg,VALORANT Official,2890000,864441384,664,US,Brand
UCifCesg-EUkjKyQedaB3hRg,VCT Americas,284000,94852014,2423,US,Official
